ERR3711255.sra.777502	CEM03489.1	48.1	27	14	0	18	98	347	373	2.5e-04	30.4
ERR3711255.sra.780955	CEM03489.1	48.1	27	14	0	18	98	347	373	2.5e-04	30.4
ERR3711255.sra.1552769	CEM03489.1	52.4	21	10	0	105	43	3094	3114	5.0e-05	32.7
ERR3711255.sra.2021106	CEM03489.1	40.7	27	16	0	110	30	3101	3127	1.5e-04	31.2
ERR3711255.sra.2143415	EER16646.1	60.7	28	11	0	150	67	277	304	8.3e-08	42.0
ERR3711255.sra.2919268	EER16646.1	51.2	43	21	0	150	22	665	707	1.1e-07	41.6
ERR3711255.sra.2961737	EER16646.1	51.2	43	21	0	150	22	665	707	1.1e-07	41.6
ERR3711255.sra.3089590	CEM03489.1	68.4	19	6	0	125	69	3161	3179	4.3e-04	29.6
ERR3711255.sra.3231635	EER16646.1	50.0	42	21	0	150	25	666	707	8.3e-08	42.0
ERR3711255.sra.3233491	EER16646.1	50.0	42	21	0	150	25	666	707	8.3e-08	42.0
ERR3711255.sra.3418362	CEM03489.1	46.7	30	16	0	150	61	3085	3114	3.5e-06	36.6
ERR3711255.sra.3451228	EER16646.1	58.3	24	10	0	76	5	274	297	3.9e-05	33.1
ERR3711255.sra.4750195	CEM03489.1	66.7	15	5	0	150	106	3100	3114	5.6e-04	29.3
ERR3711255.sra.4979854	CEM03489.1	48.1	27	14	0	12	92	347	373	2.5e-04	30.4
ERR3711255.sra.5367284	EER16646.1	57.1	35	15	0	109	5	263	297	1.7e-08	44.3
ERR3711255.sra.6016114	CEM03489.1	52.6	19	9	0	76	20	3093	3111	5.6e-04	29.3
ERR3711255.sra.6088569	CEM03489.1	48.1	27	14	0	34	114	347	373	1.9e-04	30.8
ERR3711255.sra.6210044	CEM03489.1	68.4	19	6	0	125	69	3161	3179	4.3e-04	29.6
ERR3711255.sra.6306167	EER16646.1	51.6	31	15	0	114	22	677	707	1.0e-05	35.0
ERR3711255.sra.6491021	EER16646.1	54.1	37	17	0	113	3	665	701	2.4e-07	40.4
ERR3711255.sra.6498301	EER16646.1	54.1	37	17	0	113	3	665	701	2.4e-07	40.4
ERR3711255.sra.6660368	CEM03489.1	48.1	27	14	0	69	149	347	373	1.5e-04	31.2
ERR3711255.sra.6710492	EER16646.1	51.6	31	15	0	99	7	677	707	1.0e-05	35.0
ERR3711255.sra.7520912	EER16646.1	52.2	46	17	1	143	6	141	181	1.5e-09	47.8
ERR3711255.sra.7897393	CEM03489.1	54.5	22	10	0	142	77	3093	3114	1.3e-05	34.7
ERR3711255.sra.8064915	CEM03489.1	68.4	19	6	0	108	52	3161	3179	3.3e-04	30.0
ERR3711255.sra.8141033	CEM03489.1	76.5	17	4	0	117	67	1808	1824	2.5e-04	30.4
ERR3711255.sra.8383489	CEM03489.1	48.1	27	14	0	38	118	347	373	1.5e-04	31.2
ERR3711255.sra.8848359	CEM03489.1	48.1	27	14	0	39	119	347	373	1.9e-04	30.8
ERR3711255.sra.9176001	CEM03489.1	46.7	30	16	0	93	4	3085	3114	3.5e-06	36.6
ERR3711255.sra.9454500	CEM03489.1	48.1	27	14	0	67	147	347	373	1.9e-04	30.8
ERR3711255.sra.9550462	EER16646.1	56.4	39	15	2	137	27	130	168	1.5e-09	47.8
ERR3711255.sra.9778239	EER16646.1	60.7	28	11	0	116	33	277	304	1.1e-07	41.6
ERR3711255.sra.10917516	CEM03489.1	62.5	16	6	0	137	90	466	481	3.3e-04	30.0
ERR3711255.sra.11269589	CEM03489.1	68.4	19	6	0	102	46	3161	3179	3.3e-04	30.0
ERR3711255.sra.11342620	EER16646.1	57.1	35	15	0	147	43	270	304	5.8e-09	45.8
ERR3711255.sra.11778823	CEM03489.1	48.1	27	14	0	35	115	347	373	2.5e-04	30.4
ERR3711255.sra.11942594	CEM03489.1	48.1	27	14	0	69	149	347	373	1.5e-04	31.2
ERR3711255.sra.13121355	CEM03489.1	68.4	19	6	0	125	69	3161	3179	4.3e-04	29.6
ERR3711255.sra.14001348	EER16646.1	60.7	28	11	0	103	20	277	304	6.4e-08	42.4
ERR3711255.sra.14007055	EER16646.1	60.7	28	11	0	103	20	277	304	6.4e-08	42.4
ERR3711255.sra.14170565	EER16646.1	57.1	42	16	2	150	31	127	168	1.8e-10	50.8
ERR3711255.sra.14656960	CEM03489.1	55.0	20	9	0	102	43	3093	3112	1.5e-04	31.2
ERR3711255.sra.14727897	CEM03489.1	48.1	27	14	0	39	119	347	373	1.5e-04	31.2
ERR3711255.sra.14774363	CEM03489.1	48.1	27	14	0	66	146	347	373	1.9e-04	30.8
ERR3711255.sra.15554869	EER16646.1	48.4	31	16	0	95	3	665	695	5.6e-04	29.3
ERR3711255.sra.15762941	CEM03489.1	55.0	20	9	0	102	43	3093	3112	1.5e-04	31.2
ERR3711255.sra.15958469	EER16646.1	57.1	35	15	0	112	8	270	304	5.8e-09	45.8
ERR3711255.sra.17046163	EER16646.1	58.3	24	10	0	76	5	274	297	3.9e-05	33.1
ERR3711255.sra.17067322	CEM03489.1	48.1	27	14	0	10	90	347	373	2.5e-04	30.4
ERR3711255.sra.17576761	CEM03489.1	40.7	27	16	0	109	29	3101	3127	1.9e-04	30.8
ERR3711255.sra.17657174	CEM03489.1	40.7	27	16	0	109	29	3101	3127	1.9e-04	30.8
ERR3711255.sra.18813363	CEM03489.1	48.1	27	14	0	34	114	347	373	1.5e-04	31.2
ERR3711255.sra.18813364	CEM03489.1	48.1	27	14	0	34	114	347	373	1.9e-04	30.8
ERR3711255.sra.19063295	CEM03489.1	55.0	20	9	0	83	24	3093	3112	1.5e-04	31.2
ERR3711255.sra.19782363	CEM03489.1	55.0	20	9	0	74	15	3093	3112	1.9e-04	30.8
ERR3711255.sra.19811495	EER16646.1	56.4	39	17	0	123	7	665	703	2.9e-08	43.5
